"","disp_dist","percentage","X"
"17",0.0158489319246,0.017059301381,1
"18",0.0199526231497,0.0178716490658,2
"19",0.0251188643151,0.0227457351747,3
"20",0.0316227766017,0.0121852152721,4
"21",0.0398107170553,0.017059301381,5
"22",0.0501187233627,0.0235580828595,6
"23",0.063095734448,0.0300568643379,7
"24",0.0794328234724,0.0373679935012,8
"25",0.1,0.0422420796101,9
"26",0.1258925411794,0.034118602762,10
"27",0.1584893192461,0.038180341186,11
"28",0.1995262314969,0.0406173842405,12
"29",0.251188643151,0.0714865962632,13
"30",0.3162277660168,0.0771730300569,14
"31",0.3981071705535,0.0885458976442,15
"32",0.5011872336273,0.0601137286759,16
"33",0.6309573444802,0.0593013809911,17
"34",0.7943282347243,0.0454914703493,18
"35",1,0.0284321689683,19
"36",1.2589254117942,0.0194963444354,20
"37",1.5848931924611,0.0121852152721,21
"38",1.9952623149689,0.0073111291633,22
"39",2.5118864315096,0.0048740861089,23
"40",3.1622776601684,0.0064987814785,24
